iter	Passed	Remaining
0	90	3548
1	206	3922
2	295	3642
3	383	3455
4	472	3309
5	546	3097
6	615	2900
7	677	2708
8	740	2551
9	804	2412
10	875	2308
11	1013	2365
12	1093	2270
13	1154	2144
14	1222	2037
15	1284	1927
16	1349	1826
17	1431	1749
18	1500	1658
19	1565	1565
20	1634	1478
21	1697	1388
22	1760	1301
23	1852	1234
24	1870	1122
25	1931	1040
26	1991	958
27	2061	883
28	2124	805
29	2186	728
30	2266	657
31	2375	593
32	2453	520
33	2530	446
34	2604	372
35	2686	298
36	2772	224
37	2861	150
38	2935	75
39	3007	0
